Frame Number,C1,C2,C3,C4
1269,1,0,1,0
1270,1,0,1,0
1271,1,0,1,0
1272,1,0,1,0
1273,1,0,1,0
1274,1,0,1,0
1275,1,0,1,0
1276,1,0,1,0
1277,1,0,1,0
1278,1,0,1,0
1279,1,0,1,0
1280,1,0,1,0
1281,1,0,1,0
1282,1,0,1,0
1283,1,0,1,0
1284,1,0,1,0
1285,1,0,1,0
1286,1,0,1,0
1287,1,0,1,0
1288,1,0,1,0
1289,1,0,1,0
1290,1,0,1,0
1291,1,0,1,0
1292,1,0,1,0
1293,1,0,1,0
1294,1,0,1,0
1295,1,0,1,0
1296,1,0,1,0
1297,1,0,1,0
1298,1,0,1,0
1299,1,0,1,0
1300,1,0,1,0
1301,1,0,1,0
1302,1,0,1,0
1303,1,0,1,0
1304,1,0,1,0
1305,1,0,1,0
1306,1,0,1,0
1307,1,0,1,0
1308,1,0,1,0
1309,1,0,1,0
1310,1,0,1,0
1311,1,0,1,0
1312,1,0,1,0
1313,1,0,1,0
1314,1,0,1,0
1315,1,0,1,0
1316,1,0,1,0
1317,0,0,1,0
1318,1,0,1,0
1319,1,0,1,0
1320,1,0,1,0
1321,1,0,1,0
1322,1,0,1,0
1323,1,0,1,0
1324,1,0,1,0
1325,1,0,1,0
1326,1,0,1,0
1327,1,0,1,0
1328,1,0,1,0
1329,1,0,1,0
1330,1,0,1,0
1331,1,0,1,0
1332,1,0,1,0
1333,1,0,1,0
1334,1,0,1,0
1335,1,0,1,0
1336,1,0,1,0
1337,1,0,1,0
1338,1,0,1,0
1339,1,0,1,0
1340,1,0,1,0
1341,1,0,1,0
1342,1,0,1,0
1343,1,0,1,0
1344,1,0,1,0
1345,1,0,1,0
1346,1,0,1,0
1347,1,0,1,0
1348,1,0,1,0
1349,1,0,1,0
1350,1,0,1,0
1351,1,0,1,0
1352,1,0,1,0
1353,1,0,1,0
1354,1,0,1,0
1355,1,0,1,0
1356,1,0,1,0
1357,1,0,1,0
1358,1,0,1,0
1359,1,0,1,0
1360,1,0,1,0
1361,1,0,1,0
1362,1,0,1,0
1363,1,0,1,0
1364,1,0,1,0
1365,1,0,1,0
1366,1,0,1,0
1367,1,0,1,0
1368,1,0,1,0
1369,1,0,1,0
1370,1,0,1,0
1371,1,0,1,0
1372,1,0,1,0
1373,1,0,1,0
1374,1,0,1,0
1375,1,0,1,0
1376,1,0,1,0
1377,1,0,1,0
1378,1,0,1,0
1379,1,0,1,0
1380,1,0,1,0
1381,1,0,1,0
1382,1,0,1,0
1383,1,0,1,0
1384,1,0,1,0
1385,1,0,1,0
1386,1,0,1,0
1387,1,0,1,0
1388,1,0,1,0
1389,1,0,1,0
1390,1,0,1,0
1391,1,0,1,0
1392,1,0,1,0
1393,1,0,1,0
1394,1,0,1,0
1395,1,0,1,0
1396,1,0,1,0
1397,1,0,1,0
1398,1,0,1,0
1399,1,0,1,0
1400,1,0,1,0
1401,1,0,1,0
1402,1,0,1,0
1403,1,0,1,0
1404,1,0,1,0
1405,1,0,1,0
1406,1,0,1,0
1407,0,0,1,0
1408,0,0,1,0
1409,0,0,1,0
1410,0,0,1,0
1411,0,0,1,0
1412,1,0,1,0
1413,1,0,1,0
1414,0,0,1,0
1415,1,0,1,0
1416,1,0,1,0
1417,1,0,1,0
1418,1,0,1,0
1419,1,0,1,0
1420,0,0,1,0
1421,0,0,1,0
1422,0,0,1,0
1423,0,0,1,0
1424,0,0,1,0
1425,0,0,1,0
1426,0,0,1,0
1427,0,0,1,0
1428,0,0,1,0
1429,0,0,1,0
1430,0,0,1,0
1431,0,0,1,0
1432,0,0,1,0
1433,1,0,1,0
1434,1,0,1,0
1435,1,0,1,0
1436,1,0,1,0
1437,1,0,1,0
1438,1,0,1,0
1439,0,0,1,0
1440,1,0,1,0
1441,1,0,1,0
1442,1,0,1,0
1443,1,0,1,0
1444,1,0,1,0
1445,1,0,1,0
1446,1,0,1,0
1447,1,0,1,0
1448,1,0,1,0
1449,1,0,1,0
1450,1,0,1,0
1451,1,0,1,0
1452,1,0,1,0
1453,1,0,1,0
1454,1,0,1,0
1455,1,0,1,0
1456,1,0,1,0
1457,1,0,1,0
1458,1,0,1,0
1459,1,0,1,0
1460,1,0,1,0
1461,1,0,1,0
1462,1,0,1,0
1463,1,0,1,0
1464,1,0,1,0
1465,1,0,1,0
1466,1,0,1,0
1467,1,0,1,0
1468,1,0,1,0
1469,1,0,1,0
1470,1,0,1,0
1471,1,0,1,0
1472,1,0,1,0
1473,1,0,1,0
1474,1,0,1,0
1475,1,0,1,0
1476,1,0,1,0
1477,1,0,1,0
1478,1,0,1,0
1479,1,0,1,0
1480,1,0,1,0
1481,1,0,1,0
1482,1,0,1,0
1483,1,0,1,0
1484,1,0,1,0
1485,1,0,1,0
1486,1,0,1,0
1487,1,0,1,0
1488,1,0,1,0
1489,1,0,1,0
1490,1,0,1,0
1491,1,0,1,0
1492,1,0,1,0
1493,1,0,1,0
1494,1,0,1,0
1495,1,0,1,0
1496,1,0,1,0
1497,1,0,1,0
1498,1,0,1,0
1499,1,0,1,0
1500,1,0,1,0
1501,1,0,1,0
1502,1,0,1,0
1503,1,0,1,0
1504,1,0,1,0
1505,1,0,1,0
1506,1,0,1,0
1507,1,0,1,0
1508,1,0,1,0
1509,1,0,1,0
1510,1,0,1,0
1511,1,0,1,0
1512,1,0,1,0
1513,1,0,1,0
1514,1,0,1,0
1515,1,0,1,0
1516,1,0,1,0
1517,1,0,1,0
1518,1,0,1,0
1519,1,0,1,0
1520,1,0,1,0
1521,1,0,1,0
1522,0,0,1,0
1523,0,0,1,0
1524,0,0,1,0
1525,0,0,1,0
1526,0,0,1,0
1527,0,0,1,0
1528,0,0,1,0
1529,0,0,1,0
1530,0,0,1,0
1531,0,0,1,0
1532,0,0,1,0
1533,0,0,1,0
1534,0,0,1,0
1535,0,0,1,0
1536,0,0,1,0
1537,0,0,1,0
1538,0,0,1,0
1539,0,0,1,0
1540,0,0,1,0
1541,0,0,1,0
1542,0,0,1,0
1543,0,0,1,0
1544,0,0,1,0
1545,0,0,1,0
1546,0,0,1,0
1547,0,0,1,0
1548,0,0,1,0
1549,0,0,1,0
1550,0,0,1,0
1551,0,0,1,0
1552,0,0,1,0
1553,0,0,1,0
1554,0,0,1,0
1555,0,0,1,0
1556,0,0,1,0
1557,0,0,1,0
1558,0,0,1,0
1559,0,0,1,0
1560,0,0,1,0
1561,1,0,1,0
1562,1,0,1,0
1563,0,0,1,0
1564,0,0,1,0
1565,0,0,1,0
1566,0,0,1,0
1567,0,0,1,0
1568,0,0,1,0
1569,0,0,1,0
1570,1,0,1,0
1571,1,0,1,0
1572,1,0,1,0
1573,1,0,1,0
1574,1,0,1,0
1575,1,0,1,0
1576,1,0,1,0
1577,1,0,1,0
1578,1,0,1,0
1579,1,0,1,0
1580,1,0,1,0
1581,1,0,1,0
1582,1,0,1,0
1583,1,0,1,0
1584,1,0,1,0
1585,1,0,1,0
1586,1,0,1,0
1587,1,0,1,0
1588,1,0,1,0
1589,1,0,1,0
1590,1,0,1,0
1591,1,0,1,0
1592,1,0,1,0
1593,1,0,1,0
1594,1,0,1,0
1595,1,0,1,0
1596,1,0,1,0
1597,1,0,1,0
1598,1,0,1,0
1599,1,0,1,0
1600,1,0,1,0
1601,1,0,1,0
1602,1,0,1,0
1603,1,0,1,0
1604,1,0,1,0
1605,1,0,1,0
1606,1,0,1,0
1607,1,0,1,0
1608,1,0,1,0
1609,1,0,1,0
1610,1,0,1,0
1611,1,0,1,0
1612,1,0,1,0
1613,1,0,1,0
1614,1,0,1,0
1615,1,0,1,0
1616,1,0,1,0
1617,1,0,1,0
1618,1,0,1,0
1619,1,0,1,0
1620,1,0,1,0
1621,1,0,1,0
1622,1,0,1,0
1623,1,0,1,0
1624,1,0,1,0
1625,1,0,1,0
1626,1,0,1,0
1627,1,0,1,0
1628,1,0,1,0
1629,1,0,1,0
1630,1,0,1,0
1631,1,0,1,0
1632,1,0,1,0
1633,1,0,1,0
1634,1,0,1,0
1635,1,0,1,0
1636,1,0,1,0
1637,1,0,1,0
1638,1,0,1,0
1639,1,0,1,0
1640,1,0,1,0
1641,1,0,1,0
1642,0,0,1,0
1643,1,0,1,0
1644,1,0,1,0
1645,1,0,1,0
1646,1,0,1,0
1647,1,0,1,0
1648,1,0,1,0
1649,1,0,1,0
1650,1,0,1,0
1651,1,0,1,0
1652,1,0,1,0
1653,1,0,1,0
1654,1,0,1,0
1655,1,0,1,0
1656,1,0,1,0
1657,1,0,1,0
1658,1,0,1,0
1659,1,0,0,0
1660,1,0,0,0
1661,1,0,0,0
1662,1,0,0,0
1663,1,0,0,0
1664,1,0,0,0
1665,1,0,0,0
1666,1,0,0,0
1667,1,0,0,0
1668,1,0,0,0
1669,1,0,0,0
1670,1,0,0,0
1671,1,0,0,0
1672,1,0,0,0
1673,1,0,0,0
1674,1,0,0,0
1675,1,0,0,0
1676,1,0,0,0
1677,1,0,0,0
1678,1,0,0,0
1679,1,0,0,0
1680,1,0,0,0
1681,1,0,0,0
1682,1,0,0,0
1683,1,0,0,0
1684,1,0,0,0
1685,1,0,0,0
1686,1,0,0,0
1687,1,0,0,0
1688,1,0,0,0
1689,1,0,0,0
1690,1,0,0,0
1691,1,0,0,0
1692,1,0,0,0
1693,1,0,0,0
1694,1,0,0,0
1695,1,0,0,0
1696,1,0,0,0
1697,1,0,0,0
1698,1,0,0,0
1699,1,0,0,0
1700,1,0,0,0
1701,1,0,0,0
1702,1,0,0,0
1703,1,0,0,0
1704,1,0,0,0
1705,1,0,0,0
1706,1,0,0,0
1707,1,0,0,0
1708,1,0,0,0
1709,1,0,0,0
1710,1,0,0,0
1711,1,0,0,0
1712,1,0,0,0
1713,1,0,0,0
1714,1,0,0,0
1715,1,0,0,0
1716,1,0,0,0
1717,1,0,0,0
1718,1,0,0,0
1719,1,0,0,0
1720,1,0,0,0
1721,1,0,0,0
1722,1,0,0,0
1723,1,0,0,0
1724,1,0,0,0
1725,1,0,0,0
1726,1,0,0,0
1727,1,0,0,0
1728,1,0,0,0
1729,1,0,0,0
1730,1,0,0,0
1731,1,0,0,0
1732,1,0,0,0
1733,1,0,0,0
1734,1,0,0,0
1735,1,0,0,0
1736,1,0,0,0
1737,1,0,0,0
1738,1,0,0,0
1739,1,0,0,0
1740,1,0,0,0
1741,1,0,0,0
1742,1,0,0,0
1743,1,0,0,0
1744,1,0,0,0
1745,1,0,0,0
1746,1,0,0,0
1747,1,0,0,0
1748,1,0,0,0
1749,1,0,0,0
1750,1,0,0,0
1751,1,0,0,0
1752,1,0,0,0
1753,1,0,0,0
1754,1,0,0,0
1755,1,0,0,0
1756,1,0,0,0
1757,1,0,0,0
1758,1,0,0,0
1759,1,0,0,0
1760,1,0,0,0
1761,1,0,0,0
2182,0,0,0,1
2183,0,0,0,1
2184,0,0,0,1
2187,0,0,0,1
2189,0,0,0,1
2190,0,0,0,1
2191,0,0,0,1
2192,0,0,0,1
2193,0,0,0,1
2194,0,0,0,1
2195,0,0,0,1
2196,0,0,0,1
2197,0,0,0,1
2198,0,0,0,1
2199,0,0,0,1
2200,0,0,0,1
2201,0,0,0,1
2202,0,0,0,1
2203,0,0,0,1
2204,0,0,0,1
2205,0,0,0,1
2206,0,0,0,1
2208,0,0,0,1
2209,0,0,0,1
2210,0,0,0,1
2211,0,0,0,1
2212,0,0,0,1
2213,0,0,0,1
2214,0,0,0,1
2215,0,0,0,1
2216,0,0,0,1
2217,0,0,0,1
2218,0,0,0,1
2247,0,0,0,1
2248,0,0,0,1
2249,0,0,0,1
2250,0,0,0,1
2251,0,0,0,1
2257,0,0,0,1
2258,0,0,0,1
2259,0,0,0,1
2260,0,0,0,1
2261,0,0,0,1
2262,0,0,0,1
2263,0,0,0,1
2264,0,0,0,1
2265,0,0,0,1
2266,0,0,0,1
2267,0,0,0,1
2268,0,0,0,1
2269,0,0,0,1
2270,0,0,0,1
2271,0,0,0,1
2272,0,0,0,1
2273,0,0,0,1
2274,0,0,0,1
2275,0,0,0,1
2276,0,0,0,1
2277,0,0,0,1
2278,0,0,0,1
2279,0,0,0,1
2280,0,0,0,1
2281,0,0,0,1
2282,0,0,0,1
2285,0,0,0,1
2286,0,0,0,1
2287,0,0,0,1
2288,0,0,0,1
2289,0,0,0,1
2290,0,0,0,1
2291,0,0,0,1
2292,0,0,0,1
2293,0,0,0,1
2294,0,0,0,1
2295,0,0,0,1
2296,0,0,0,1
2297,0,0,0,1
2298,0,0,0,1
2299,0,0,0,1
2300,0,0,0,1
2301,0,0,0,1
2302,0,0,0,1
2303,0,0,0,1
2304,0,0,0,1
2305,0,0,0,1
2306,0,0,0,1
2307,0,0,0,1
2308,0,0,0,1
2309,0,0,0,1
2310,0,0,0,1
2311,0,0,0,1
2312,0,0,0,1
2313,0,0,0,1
2314,0,0,0,1
2315,0,0,0,1
2316,0,0,0,1
2317,0,0,0,1
2343,0,0,0,1
2344,0,0,0,1
2345,0,0,0,1
2346,0,0,0,1
2353,0,0,0,1
2354,0,0,0,1
2355,0,0,0,1
2356,0,0,0,1
2357,0,0,0,1
2358,0,0,0,1
2359,0,0,0,1
2360,0,0,0,1
2361,0,0,0,1
2362,0,0,0,1
2365,0,0,0,1
2366,0,0,0,1
2371,0,0,0,1
2372,0,0,0,1
2373,0,0,0,1
2374,0,0,0,1
2375,0,0,0,1
2376,0,0,0,1
2377,0,0,0,1
2378,0,0,0,1
2379,0,0,0,1
2380,0,0,0,1
2381,0,0,0,1
2382,0,0,0,1
2383,0,0,0,1
2384,0,0,0,1
2385,0,0,0,1
2386,0,0,0,1
2387,0,0,0,1
2388,0,0,0,1
2389,0,0,0,1
2390,0,0,0,1
2395,0,0,0,1
2396,0,0,0,1
2397,0,0,0,1
2399,0,0,0,1
2400,0,0,0,1
2401,0,0,0,1
2402,0,0,0,1
2403,0,0,0,1
2404,0,0,0,1
2405,0,0,0,1
2406,0,0,0,1
2411,0,0,0,1
2412,0,0,0,1
2413,0,0,0,1
2414,0,0,0,1
2415,0,0,0,1
2416,0,0,0,1
2448,0,0,0,1
2449,0,0,0,1
2450,0,0,0,1
2451,0,0,0,1
2461,0,0,0,1
2462,0,0,0,1
2463,0,0,0,1
2464,0,0,0,1
2465,0,0,0,1
2466,0,0,0,1
2467,0,0,0,1
2468,0,0,0,1
2469,0,0,0,1
2470,0,0,0,1
2471,0,0,0,1
2472,0,0,0,1
2491,0,0,0,1
2492,0,0,0,1
2493,0,0,0,1
2494,0,0,0,1
2588,0,0,0,1
2596,0,0,0,1
2597,0,0,0,1
2613,0,0,0,1
2614,0,0,0,1
2623,0,0,0,1
2624,0,0,0,1
2625,0,0,0,1
2626,0,0,0,1
2628,0,0,0,1
2629,0,0,0,1
2630,0,0,0,1
2631,0,0,0,1
2632,0,0,0,1
2633,0,0,0,1
2637,0,0,0,1
2638,0,0,0,1
2639,0,0,0,1
2640,0,0,0,1
2642,0,0,0,1
2643,0,0,0,1
2644,0,0,0,1
2645,0,0,0,1
2646,0,0,0,1
2647,0,0,0,1
2648,0,0,0,1
2649,0,0,0,1
2650,0,0,0,1
2652,0,0,0,1
2653,0,0,0,1
2654,0,0,0,1
2655,0,0,0,1
2656,0,0,0,1
2660,0,0,0,1
2661,0,0,0,1
2662,0,0,0,1
2663,0,0,0,1
2664,0,0,0,1
2665,0,0,0,1
2666,0,0,0,1
2667,0,0,0,1
2747,0,1,0,0
2748,0,1,0,0
2749,0,1,0,0
2750,0,1,0,0
2751,0,1,0,0
2752,0,1,0,0
2753,0,1,0,0
2754,0,1,0,0
2755,0,1,0,0
2756,0,1,0,0
2757,0,1,0,0
2758,0,1,0,0
2759,0,1,0,0
2760,0,1,0,0
2761,0,1,0,0
2762,0,1,0,0
2763,0,1,0,0
2764,0,1,0,0
2765,0,1,0,0
2766,0,1,0,0
2767,0,1,0,0
2768,0,1,0,0
2769,0,1,0,0
2770,0,1,0,0
2771,0,1,0,0
2772,0,1,0,0
2773,0,1,0,0
2774,0,1,0,0
2775,0,1,0,0
2776,0,1,0,0
2777,0,1,0,0
2778,0,1,0,0
2779,0,1,0,0
2780,0,1,0,0
2781,0,1,0,0
2782,0,1,0,0
2783,0,1,0,0
2784,0,1,0,0
2785,0,1,0,0
2786,0,1,0,0
2787,0,1,0,0
2788,0,1,0,0
2789,0,1,0,0
2790,0,1,0,0
2791,0,1,0,0
2792,0,1,0,0
2793,0,1,0,0
2794,0,1,0,0
2795,0,1,0,0
2796,0,1,0,0
2797,0,1,0,0
2798,0,1,0,0
2799,0,1,0,0
2800,0,1,0,0
2801,0,1,0,0
2802,0,1,0,0
2803,0,1,0,0
2804,0,1,0,0
2805,0,1,0,0
2806,0,1,0,0
2807,0,1,0,0
2808,0,1,0,0
2809,0,1,0,0
2810,0,1,0,0
2811,0,1,0,0
2812,0,1,0,0
2813,0,1,0,0
2814,0,1,0,0
2815,0,1,0,0
2816,0,1,0,0
2817,0,1,0,0
2818,0,1,0,0
2819,0,1,0,0
2820,0,1,0,0
2821,0,1,0,0
2822,0,1,0,0
2823,0,1,0,0
2824,0,1,0,0
2825,0,1,0,0
2826,0,1,0,0
2827,0,1,0,0
2828,0,1,0,0
2829,0,1,0,0
2830,0,1,0,0
2831,0,1,0,0
2832,0,1,0,0
2833,0,1,0,0
2834,0,1,0,0
2835,0,1,0,0
2836,0,1,0,0
2837,0,1,0,0
2838,0,1,0,0
2839,0,1,0,0
2840,0,1,0,0
2841,0,1,0,0
2842,0,1,0,0
2843,0,1,0,0
2844,0,1,0,0
2845,0,1,0,0
2846,0,1,0,0
2847,0,1,0,0
2848,0,1,0,0
2849,0,1,0,0
2850,0,1,0,0
2851,0,1,0,0
2852,0,1,0,0
2853,0,1,0,0
2854,0,1,0,0
2855,0,1,0,0
2856,0,1,0,0
2857,0,1,0,0
2858,0,1,0,0
2859,0,1,0,0
2860,0,1,0,0
2861,0,1,0,0
2862,0,1,0,0
2863,0,1,0,0
2864,0,1,0,0
2865,0,1,0,0
2866,0,1,0,0
2867,0,1,0,0
2868,0,1,0,0
2869,0,1,0,0
2870,0,1,0,0
2871,0,1,0,0
2872,0,1,0,0
2873,0,1,0,0
2874,0,1,0,0
2875,0,1,0,0
2876,0,1,0,0
2877,0,1,0,0
2878,0,1,0,0
2879,0,1,0,0
2880,0,1,0,0
2881,0,1,0,0
2882,0,1,0,0
2883,0,1,0,0
2884,0,1,0,0
2885,0,1,0,0
2886,0,1,0,0
2887,0,1,0,0
2888,0,1,0,0
2889,0,1,0,0
2890,0,1,0,0
2891,0,1,0,0
2892,0,1,0,0
2893,0,1,0,0
2894,0,1,0,0
2895,0,1,0,0
2896,0,1,0,0
2897,0,1,0,0
2898,0,1,0,0
2899,0,1,0,0
2900,0,1,0,0
2901,0,1,0,0
2902,0,1,0,0
2903,0,1,0,0
2904,0,1,0,0
2905,0,1,0,0
2906,0,1,0,0
2907,0,1,0,0
2908,0,1,0,0
2909,0,1,0,0
2910,0,1,0,0
2911,0,1,0,0
2912,0,1,0,0
2913,0,1,0,0
2914,0,1,0,0
2915,0,1,0,0
2916,0,1,0,0
2917,0,1,0,0
2918,0,1,0,0
2919,0,1,0,0
2920,0,1,0,0
2921,0,1,0,0
2922,0,1,0,0
2923,0,1,0,0
2924,0,1,0,0
2925,0,1,0,0
2926,0,1,0,0
2927,0,1,0,0
2928,0,1,0,0
2929,0,1,0,0
2930,0,1,0,0
2931,0,1,0,0
2932,0,1,0,0
2933,0,1,0,0
2934,0,1,0,0
2935,0,1,0,0
2936,0,1,0,0
2937,0,1,0,0
2938,0,1,0,0
2939,0,1,0,0
2940,0,1,0,0
2941,0,1,0,0
2942,0,1,0,0
2943,0,1,0,0
2944,0,1,0,0
2945,0,1,0,0
2946,0,1,0,0
2947,0,1,0,0
2948,0,1,0,0
2949,0,1,0,0
2950,0,1,0,0
2951,0,1,0,0
2952,0,1,0,0
2953,0,1,0,0
2954,0,1,0,0
2955,0,1,0,0
2956,0,1,0,0
2957,0,1,0,0
2958,0,1,0,0
2959,0,1,0,0
2960,0,1,0,0
2961,0,1,0,0
2962,0,1,0,0
2963,0,1,0,0
2964,0,1,0,0
2965,0,1,0,0
2966,0,1,0,0
2967,0,1,0,0
2968,0,1,0,0
2969,0,1,0,0
2970,0,1,0,0
2971,0,1,0,0
2972,0,1,0,0
2973,0,1,0,0
2974,0,1,0,0
2975,0,1,0,0
2976,0,1,0,0
2977,0,1,0,0
2978,0,1,0,0
2979,0,1,0,0
2980,0,1,0,0
2981,0,1,0,0
2982,0,1,0,0
2983,0,1,0,0
2984,0,1,0,0
2985,0,1,0,0
2986,0,1,0,0
2987,0,1,0,0
2988,0,1,0,0
2989,0,1,0,0
2990,0,1,0,0
2991,0,1,0,0
2992,0,1,0,0
2993,0,1,0,0
2994,0,1,0,0
2995,0,1,0,0
2996,0,1,0,0
2997,0,1,0,0
2998,0,1,0,0
2999,0,1,0,0
3000,0,1,0,0
3001,0,1,0,0
3002,0,1,0,0
3003,0,1,0,0
3004,0,1,0,0
3005,0,1,0,0
3006,0,1,0,0
3007,0,1,0,0
3008,0,1,0,0
3009,0,1,0,0
3010,0,1,0,0
3011,0,1,0,0
3012,0,1,0,0
3013,0,1,0,0
3014,0,1,0,0
3015,0,1,0,0
3016,0,1,0,0
3017,0,1,0,0
3018,0,1,0,0
3019,0,1,0,0
3020,0,1,0,0
3021,0,1,0,0
3022,0,1,0,0
3023,0,1,0,0
3024,0,1,0,0
3025,0,1,0,0
3026,0,1,0,0
3027,0,1,0,0
3028,0,1,0,0
3029,0,1,0,0
3030,0,1,0,0
3031,0,1,0,0
3032,0,1,0,0
3033,0,1,0,0
3034,0,1,0,0
3035,0,1,0,0
3036,0,1,0,0
3037,0,1,0,0
3038,0,1,0,0
3039,0,1,0,0
3040,0,1,0,0
3041,0,1,0,0
3042,0,1,0,0
3043,0,1,0,0
3044,0,1,0,0
3045,0,1,0,0
3046,0,1,0,0
3047,0,1,0,0
3048,0,1,0,0
3049,0,1,0,0
3050,0,1,0,0
3051,0,1,0,0
3052,0,1,0,0
3053,0,1,0,0
3054,0,1,0,0
3307,0,0,1,0
3308,0,0,1,0
3309,0,0,1,1
3310,0,0,1,1
3311,0,0,1,0
3312,0,0,1,0
3313,0,0,1,0
3314,0,0,1,0
3315,0,0,1,0
3316,0,0,1,0
3317,0,0,1,0
3318,0,0,1,0
3319,0,0,1,0
3320,0,0,1,0
3321,0,0,1,0
3322,0,0,1,0
3323,0,0,1,0
3324,0,0,1,0
3325,0,0,1,0
3326,0,0,1,0
3327,0,0,1,0
3328,0,0,1,0
3329,0,0,1,0
3330,0,0,1,0
3331,0,0,1,0
3332,0,0,1,0
3333,0,0,1,0
3334,0,0,1,0
3335,0,0,1,0
3336,0,0,1,0
3337,0,0,1,0
3338,0,0,1,0
3339,0,0,1,0
3340,0,0,1,0
3341,0,0,1,0
3342,0,0,1,0
3343,0,0,1,0
3344,0,0,1,0
3345,0,0,1,0
3346,0,0,1,0
3347,0,0,1,0
3348,0,0,1,0
3349,0,0,1,0
3350,0,0,1,0
3351,0,0,1,0
3352,0,0,1,0
3353,0,0,1,0
3354,0,0,1,0
3355,0,0,1,0
3356,0,0,1,0
3357,0,0,1,0
3358,0,0,1,0
3359,0,0,1,0
3360,0,0,1,0
3361,0,0,1,0
3362,0,0,1,0
3363,0,0,1,0
3364,0,0,1,0
3365,0,0,1,0
3366,0,0,1,0
3367,0,0,1,0
3368,0,0,1,0
3369,0,0,1,0
3370,0,0,1,0
3371,0,0,1,0
3372,0,0,1,0
3373,0,0,1,0
3374,0,0,1,0
3375,0,0,1,0
3376,0,0,1,0
3377,0,0,1,0
3378,0,0,1,0
3379,0,0,1,0
3380,0,0,1,0
3381,0,0,1,0
3382,0,0,1,0
3383,0,0,1,0
3384,0,0,1,0
3385,0,0,1,0
3386,0,0,1,0
3387,0,0,1,0
3388,0,0,1,0
3389,0,0,1,0
3390,0,0,1,0
3391,0,0,1,0
3392,0,0,1,0
3393,0,0,1,0
3394,0,0,1,0
3395,0,0,1,0
3396,0,0,1,0
3397,0,0,1,0
3398,0,0,1,0
